1400,AAPL,1.0,sell
1401,AAPL,1.0,buy
1402,MSFT,1.0,sell
1403,MSFT,1.0,buy
1404,AAPL,1.0,sell
1405,AAPL,1.0,buy
1406,MSFT,1.0,sell
1407,MSFT,1.0,buy
1408,AAPL,1.0,sell
1409,AAPL,1.0,buy
1410,MSFT,1.0,sell
1411,MSFT,1.0,buy
1412,AAPL,1.0,sell
1413,AAPL,1.0,buy
1414,MSFT,1.0,sell
1415,MSFT,1.0,buy
1416,AAPL,1.0,sell
1417,AAPL,1.0,buy
1418,MSFT,1.0,sell
1419,MSFT,1.0,buy
1420,AAPL,1.0,sell
1421,AAPL,1.0,buy
1422,MSFT,1.0,sell
1423,MSFT,1.0,buy
1424,AAPL,1.0,sell
1425,AAPL,1.0,buy
1426,MSFT,1.0,sell
1427,MSFT,1.0,buy
1428,AAPL,1.0,sell
1429,AAPL,1.0,buy
1430,MSFT,1.0,sell
1431,MSFT,1.0,buy
1432,AAPL,1.0,sell
1433,AAPL,1.0,buy
1434,MSFT,1.0,sell
1435,MSFT,1.0,buy
1436,AAPL,1.0,sell
1437,AAPL,1.0,buy
1438,MSFT,1.0,sell
1439,MSFT,1.0,buy
1440,AAPL,1.0,sell
1441,AAPL,1.0,buy
1442,MSFT,1.0,sell
1443,MSFT,1.0,buy
1444,AAPL,1.0,sell
1445,AAPL,1.0,buy
1446,MSFT,1.0,sell
1447,MSFT,1.0,buy
1448,AAPL,1.0,sell
1449,AAPL,1.0,buy
1450,MSFT,1.0,sell
1451,MSFT,1.0,buy
1452,AAPL,1.0,sell
1453,AAPL,1.0,buy
1454,MSFT,1.0,sell
1455,MSFT,1.0,buy
1456,AAPL,1.0,sell
1457,AAPL,1.0,buy
1458,MSFT,1.0,sell
1459,MSFT,1.0,buy
1460,AAPL,1.0,sell
1461,AAPL,1.0,buy
1462,MSFT,1.0,sell
1463,MSFT,1.0,buy
1464,AAPL,1.0,sell
1465,AAPL,1.0,buy
1466,MSFT,1.0,sell
1467,MSFT,1.0,buy
1468,AAPL,1.0,sell
1469,AAPL,1.0,buy
1470,MSFT,1.0,sell
1471,MSFT,1.0,buy
1472,AAPL,1.0,sell
1473,AAPL,1.0,buy
1474,MSFT,1.0,sell
1475,MSFT,1.0,buy
1476,AAPL,1.0,sell
1477,AAPL,1.0,buy
1478,MSFT,1.0,sell
1479,MSFT,1.0,buy
1480,AAPL,1.0,sell
1481,AAPL,1.0,buy
1482,MSFT,1.0,sell
1483,MSFT,1.0,buy
1484,AAPL,1.0,sell
1485,AAPL,1.0,buy
1486,MSFT,1.0,sell
